,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue id
193,"3006, Bern",46.9458,7.4713,Reinhard - Brunnadernstrasse,46.94131233558906,7.463769984812447,Bakery,4cc946c13d99b7131e143653
194,"3006, Bern",46.9458,7.4713,Tamoil,46.94459705,7.46142566,Gas Station,51e2d251498e275a2dcb01b0
195,"3006, Bern",46.9458,7.4713,Altes Depot Burgerenziel,46.94094845604629,7.464131435927846,Tram Station,52b6db77498e6e9b59cc1ada
196,"3006, Bern",46.9458,7.4713,Bernmobil Brunnadernstrasse,46.941243536099485,7.463684206109402,Tram Station,4c9108f451d9b1f77f2a7d46
197,"3006, Bern",46.9458,7.4713,Bernmobil Seminar,46.94471022143508,7.461273288636228,Bus Station,507aa35be4b02bab1a389117
198,"3006, Bern",46.9458,7.4713,Bernmobil Galgenfeld,46.9524886485126,7.466797828674316,Bus Station,4d2ffe3882fd5481f621afa8
199,"3006, Bern",46.9458,7.4713,Restaurant Egghölzli,46.93752164285263,7.475747029196381,Restaurant,4b7cef25f964a520a5a92fe3
200,"3006, Bern",46.9458,7.4713,Bäckerei Lanz,46.93737290163268,7.475288620046988,Bakery,5103c77de4b0d770c3f0cfd9
201,"3007, Bern",46.9392,7.4346,dr Süder restaurant,46.938723333318805,7.428160930322838,French Restaurant,4c5d99eed25320a11d69c67a
205,"3007, Bern",46.9392,7.4346,Pizzeria da Rina,46.94105676065494,7.431439304290018,Pizza Place,4c8bd30df0ce236ad35912ef
209,"3007, Bern",46.9392,7.4346,Da Nino,46.942200752017236,7.431390496380956,Pizza Place,4bf1122224f19c742b54f983
212,"3007, Bern",46.9392,7.4346,MusigBistrot,46.94240357662496,7.433565595420064,Jazz Club,4b5f23faf964a52099a829e3
214,"3007, Bern",46.9392,7.4346,ibis Styles Bern City,46.94241251584646,7.430248051913188,Hotel,56be6e69498e050953208aad
222,"3007, Bern",46.9392,7.4346,Restaurant Bahnhof,46.93611645578073,7.430472090670842,Swiss Restaurant,4e65efe3b0fb188e8f29bc59
226,"3007, Bern",46.9392,7.4346,Migros,46.940189395142966,7.43172785649905,Grocery Store,4d6923161b63a1cdb6933b2d
227,"3007, Bern",46.9392,7.4346,Pangäa,46.94674604837982,7.438971651517092,Mediterranean Restaurant,4bc48af474a9a593a5efd5f6
228,"3007, Bern",46.9392,7.4346,Eigerplatz,46.941117304286244,7.43061475124011,Plaza,4b6a04a8f964a52013c22be3
229,"3007, Bern",46.9392,7.4346,Restaurant Arirang,46.94642536451463,7.437946497042692,Korean Restaurant,52a83eec498e995514a60865
230,"3007, Bern",46.9392,7.4346,Mediamarkt,46.947390297971474,7.4395643325517335,Electronics Store,5512e5e7498e9cccf180fa81
231,"3007, Bern",46.9392,7.4346,Coop,46.941032993552135,7.431143482788152,Supermarket,4dba98c393a080554839476f
233,"3007, Bern",46.9392,7.4346,Namaste,46.94405037737408,7.436095096805111,Indian Restaurant,51d45381498efe8482994724
234,"3007, Bern",46.9392,7.4346,ängelibeck Bäckerei und Himmelreich,46.946468168336985,7.4390962902726585,Bakery,524d026711d2cc36fa6da620
235,"3007, Bern",46.9392,7.4346,Marcel's Marcili,46.943231,7.443664,Breakfast Spot,4bc9a3c6937ca593f00ea692
237,"3007, Bern",46.9392,7.4346,Kino Gotthard,46.947386174133904,7.439390848506056,Movie Theater,4bc73e5e15a7ef3b0afc78da
238,"3007, Bern",46.9392,7.4346,Denner,46.9364663561628,7.432651718938062,Discount Store,4ccaef40ba79a1cdf20231cb
239,"3007, Bern",46.9392,7.4346,Piazza Bar,46.94649083348381,7.437754041242385,Bar,4b86de27f964a520c9a231e3
240,"3007, Bern",46.9392,7.4346,Maharaja Palace,46.945695792804415,7.4294383864378295,Indian Restaurant,4cdadb0c22bd721e4b17f247
241,"3007, Bern",46.9392,7.4346,Hallenbad Hirschengraben,46.94645752123527,7.436309529340788,Gym Pool,4c0a1197340720a110de8593
