,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels,Latitude,Longitude
97,"8006, Zürich",Italian Restaurant,Hotel,Café,Bar,Bakery,Swiss Restaurant,Restaurant,Park,Supermarket,Falafel Restaurant,6,47.3858,8.5432
98,"8008, Zürich",Italian Restaurant,Swiss Restaurant,Museum,Restaurant,Park,Supermarket,Café,Bakery,Movie Theater,Art Museum,6,47.3536,8.5614
99,"8022, Zürich",Cocktail Bar,Restaurant,Hotel,Café,Juice Bar,Jewelry Store,Gym / Fitness Center,Asian Restaurant,Tram Station,Bar,6,47.3674,8.5374
100,"8023, Zürich",Bar,Swiss Restaurant,Vegetarian / Vegan Restaurant,Hotel,Italian Restaurant,Board Shop,Burrito Place,Sporting Goods Shop,Supermarket,Sushi Restaurant,6,47.3748,8.5381
101,"8032, Zürich",Hotel,Tram Station,Swiss Restaurant,Plaza,Italian Restaurant,Park,Coffee Shop,Grocery Store,Supermarket,Golf Course,6,47.3667,8.5644
102,"8033, Zürich",Bar,Café,Tram Station,Hotel,Swiss Restaurant,Plaza,Italian Restaurant,Athletics & Sports,Chinese Restaurant,Bakery,6,47.3836,8.548
103,"8037, Zürich",Trail,Supermarket,Italian Restaurant,Hotel,Eastern European Restaurant,Thai Restaurant,Taco Place,Swiss Restaurant,Restaurant,Electronics Store,6,47.3985,8.5243
104,"8038, Zürich",Bus Station,Restaurant,Swiss Restaurant,Supermarket,Harbor / Marina,Mediterranean Restaurant,Gas Station,Building,Café,Campground,3,47.3416,8.5369
105,"8040, Zürich",Restaurant,Hotel,Korean Restaurant,Pool,Convenience Store,Climbing Gym,Electronics Store,Bus Station,Brewery,Soccer Stadium,6,47.3802,8.5068
106,"8041, Zürich",Light Rail Station,Bus Station,Bakery,Gas Station,Pizza Place,Mediterranean Restaurant,Grocery Store,Trail,Zoo,Donut Shop,3,47.3361,8.5156
107,"8045, Zürich",Bus Station,Swiss Restaurant,Bar,Tram Station,Tennis Court,Gym,Food Court,Scenic Lookout,Mountain,Café,3,47.3516,8.5057
108,"8046, Zürich",Supermarket,Bus Station,Hotel,Swiss Restaurant,Flower Shop,Light Rail Station,Department Store,Athletics & Sports,Gym,Train Station,1,47.4222,8.5083
109,"8047, Zürich",Bus Station,Tram Station,Swiss Restaurant,Supermarket,Convenience Store,Soccer Field,Italian Restaurant,Breakfast Spot,Scenic Lookout,Stadium,3,47.3739,8.487
110,"8048, Zürich",Supermarket,Hotel,Thai Restaurant,Italian Restaurant,Chinese Restaurant,Bakery,Gym,Gas Station,Pool,Soccer Field,6,47.3868,8.4839
111,"8049, Zürich",Bus Station,Tram Station,Supermarket,Grocery Store,Soccer Field,Mexican Restaurant,Fast Food Restaurant,Steakhouse,Gym Pool,Bakery,3,47.4087,8.5004
112,"8050, Zürich",Supermarket,Hotel,Restaurant,Italian Restaurant,Swiss Restaurant,Pub,Bakery,Hookah Bar,Salad Place,Thai Restaurant,6,47.4119,8.5508
113,"8051, Zürich",Tram Station,Swiss Restaurant,Supermarket,Bus Station,Arts & Crafts Store,Discount Store,Thai Restaurant,Steakhouse,Light Rail Station,Asian Restaurant,3,47.3996,8.5788
114,"8052, Zürich",Bus Station,Pool,Italian Restaurant,Community Center,Pizza Place,River,Café,Bus Stop,Mini Golf,Bowling Alley,3,47.4245,8.5406
115,"8053, Zürich",Bus Station,Tram Station,Scenic Lookout,Pharmacy,Home Service,Soccer Field,Indian Restaurant,Supermarket,Shoe Store,Department Store,3,47.3613,8.5974
116,"8055, Zürich",Hotel,Light Rail Station,Pizza Place,Tea Room,Café,Bus Station,Swiss Restaurant,Motorcycle Shop,Scenic Lookout,Eastern European Restaurant,6,47.3642,8.4903
117,"8057, Zürich",Tram Station,Swiss Restaurant,Pizza Place,Bus Station,Flower Shop,Park,Supermarket,Hockey Rink,Pharmacy,Hotel,3,47.3999,8.5474
118,"8063, Zürich",Bus Station,Supermarket,Middle Eastern Restaurant,Plaza,Italian Restaurant,Tram Station,Ethiopian Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,1,47.3666,8.497
119,"8064, Zürich",Tram Station,Bus Station,Bakery,Italian Restaurant,Concert Hall,Snack Place,Food & Drink Shop,Spa,Bistro,Bathing Area,3,47.3987,8.4852
120,"8074, Zürich",Hostel,Gastropub,Pizza Place,Mediterranean Restaurant,Zoo,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,3,47.3828,8.5307
121,"8352, Winterthur",Diner,Bakery,Zoo,Event Space,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,Factory,6,47.4869,8.7975
122,"8400, Winterthur",Café,Bar,Restaurant,Italian Restaurant,Multiplex,Cocktail Bar,Nightclub,Coffee Shop,Shopping Mall,Swiss Restaurant,6,47.4916,8.7295
123,"8401, Winterthur",Restaurant,Bus Stop,Italian Restaurant,Fast Food Restaurant,Soccer Field,Sporting Goods Shop,Supermarket,Furniture / Home Store,Café,Bakery,6,47.5,8.75
124,"8404, Winterthur",Golf Course,Swiss Restaurant,Beer Garden,Event Space,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,2,47.5382,8.7652
125,"8405, Winterthur",Electronics Store,Bus Stop,Bus Station,Restaurant,Zoo,Ethiopian Restaurant,Donut Shop,Eastern European Restaurant,English Restaurant,Event Space,7,47.4776,8.7783
